"RC1";"RC3";"RC2"
"Angra dos Reis";0.69730444550441;0.301972735824599;0.868978624725765
"Aperibé";-0.201466595485854;-1.06013017795863;-0.698050887794923
"Araruama";0.417081227180839;-0.266663960800055;-0.438359870825613
"Areal";0.382828696968353;-0.538985884557577;-0.0147985319612373
"Armação dos Búzios";1.05055395187778;-0.272973322645165;1.18347802009814
"Arraial do Cabo";1.31036417907165;-0.313414757435538;-0.413571614246436
"Barra do Piraí";0.880713842513199;0.232956265732486;-0.16666334533802
"Barra Mansa";0.995747101755034;0.46443796558339;-0.176054456444435
"Belford Roxo";1.0685081622785;-1.04560212607587;-0.452898976314357
"Bom Jardim";-1.20337296374614;0.426072184044756;0.159097520567985
"Bom Jesus do Itabapoana";-0.435781710334496;0.227485401567985;-0.531437904199367
"Cabo Frio";0.325790616930057;0.38400763838901;1.18394340659246
"Cachoeiras de Macacu";-0.0292286624399794;-0.59878137171232;-0.119957211702608
"Cambuci";-1.31544742895412;-0.212491316154127;-0.585784016698041
"Carapebus";0.0598602815534099;0.208450008107035;1.57340087430796
"Comendador Levy Gasparian";-0.561340891937257;0.647601233510479;0.0740479432311064
"Campos dos Goytacazes";-0.0900709297505679;-0.540201780071392;1.52423985433087
"Cantagalo";-1.22674699757688;-1.03455613053152;1.01132226562253
"Cardoso Moreira";-0.569807280448654;0.230124071651472;-0.785364794261352
"Carmo";0.150424752450548;-0.00282939482695161;0.791133539031843
"Casimiro de Abreu";0.645790399429823;-0.89393311841038;0.883104278866433
"Conceição de Macabu";0.032548093220519;-0.348612538178423;-0.795590097970429
"Cordeiro";1.04418546873135;0.112049949186304;-0.633375902413089
"Duas Barras";-1.24251896880911;-0.050353032069553;-0.721688586930132
"Duque de Caxias";0.826946635369146;-0.256167008048948;0.253618032053993
"Engenheiro Paulo de Frontin";0.17262031485838;-0.863999060844232;-0.333032105170508
"Guapimirim";0.628284058910971;-1.078536207322;-0.52497702863071
"Iguaba Grande";1.26629632921746;-0.546096924929771;-0.950183865336063
"Itaboraí";0.719303662685662;-0.88987831846392;-0.205460476160484
"Itaguaí";0.690051243405068;-0.463853424979021;0.0740730819966992
"Italva";-0.750642699932813;-0.398631922206036;0.0768714175492823
"Itaocara";-1.22552952538324;0.574919131875966;-0.662398135973709
"Itaperuna";0.140196192759759;0.578090476832687;-0.48532125856503
"Itatiaia";0.79783190517625;-0.345924963196983;0.502425561141531
"Japeri";0.650314050289194;-1.47377073347912;-0.910723336076816
"Laje do Muriaé";-1.03541777329298;-0.563454478790378;-0.542299493335126
"Macaé";0.376438812968986;1.62314594144976;2.24024685890486
"Macuco";0.0830886697136518;-0.127786233761415;-0.469304906550278
"Magé";0.750399661352016;-0.882720776055093;-0.774475142304553
"Mangaratiba";0.896303364205589;0.0595270679606959;-0.178386746540212
"Maricá";1.15731330809185;-0.204009408176064;0.100868381725388
"Mendes";0.924693211039719;-0.437927082863198;-0.880506744370991
"Mesquita";1.39272856575013;-0.102360987126614;-0.937282992056056
"Miguel Pereira";0.109378954707073;0.225815066220449;-0.56767303115715
"Miracema";-0.293565699409884;-0.00895757125403576;-0.61472947376732
"Natividade";-0.731184332051895;0.0502782652277157;-0.570212395592662
"Nilópolis";1.48167133247629;0.496353811573145;-1.02148468034162
"Niterói";0.492244748522609;5.02357189331442;-0.308012145209426
"Nova Friburgo";0.50554203344415;1.43754072841985;-0.584142870737215
"Nova Iguaçu";0.955722728545563;-0.219059489990162;-0.703902099290952
"Paracambi";0.747630357203607;0.0421525359896911;-0.888138768761865
"Paraíba do Sul";0.442614091437138;0.055160317305837;-0.639903358154699
"Parati";-0.104354051532546;-0.00403878818165519;0.483901201142236
"Paty do Alferes";-1.08624320149856;-0.513796805457075;-0.416926621445772
"Petrópolis";0.915415016632506;0.916568302669643;-0.0271517294799236
"Pinheiral";0.802630731702853;-0.439978394177002;-0.819518526369014
"Piraí";0.103926636238918;-0.0408440612381504;1.25733128838851
"Porciúncula";-0.841472527012365;0.296457482833713;-0.432819360057095
"Porto Real";-0.0299574187347283;-0.446733691570617;4.89161270798114
"Quatis";0.644944678183687;-0.981094921393019;0.292635832912118
"Queimados";0.839047292942376;-1.12874351707844;0.0194514132493192
"Quissamã";-0.723051697533438;-0.228413219784188;3.5517333634177
"Resende";0.740458438903832;1.23654207097544;1.04259919368081
"Rio Bonito";-0.166912924878436;0.023590038029982;-0.0317767343499815
"Rio Claro";-1.0623616571949;-0.110904024616081;-0.589654535841592
"Rio das Flores";-0.346424599460643;-0.874326390829081;0.215789520334269
"Rio das Ostras";0.928993496050503;0.548530121237944;2.06737416691724
"Rio de Janeiro";-0.414309567759297;5.63218941832031;-0.0914873503361419
"Santa Maria Madalena";-1.55076853678674;-0.292088744602173;0.152791673430837
"Santo Antônio de Pádua";-0.312501050029678;0.125099817890807;-0.317067202719187
"São Francisco de Itabapoana";-1.08549540184823;0.30164996669976;-0.597809452370417
"São Fidélis";-2.50556989533561;-0.261663711177288;-0.122263529984777
"São Gonçalo";1.27442280859435;-0.153071658740358;-0.730125791302449
"São João da Barra";-0.571933775593035;-0.951841931270249;3.4288989127001
"São João de Meriti";1.44188235980634;-0.527588334449711;-0.917909648559679
"São José de Ubá";-2.84607266403532;0.292330631068521;-0.549811878708229
"São José do Vale do Rio Preto";-1.23291034628003;-0.131446150911471;-0.33351148372061
"São Pedro da Aldeia";0.637650314718529;-0.00719716572894373;-0.390059847709395
"São Sebastião do Alto";-2.11898174697002;-0.27554130271867;0.122232521814075
"Sapucaia";-0.542884903007864;-0.134523944285792;-0.124289317672148
"Saquarema";0.690547991982161;-0.452444942917089;-0.424276346543324
"Seropédica";0.357219971892546;-0.553669139897678;0.365781887465555
"Silva Jardim";-1.16742872671032;-0.845081278807268;-0.444194311405096
"Sumidouro";-3.35264584145999;0.344547044619253;-0.368588289845546
"Tanguá";0.0956199462494394;-1.31718241685479;-0.422152390825781
"Teresópolis";0.292200873893476;1.01762860924496;-0.475337135055827
"Trajano de Morais";-2.02153630739844;-0.229502563776567;-0.467164893427324
"Três Rios";0.567727248904808;0.850163324029093;-0.201648682837739
"Valença";0.388033163748161;0.00723954575218576;-0.316819333995387
"Varre-Sai";-1.54977941985916;-0.174291983382186;-0.702342596401319
"Vassouras";-0.434095781779472;0.657889023614368;-0.436448442653739
"Volta Redonda";0.989778080212455;1.46653450000632;0.644319340620232
